State,allArrests,weaponArrests,agencies,population
AL,132,1,1,"82,332"
,"1,918",16,,
AK,"2,559",26,30,"464,937"
,"29,690",225,,
AZ,"32,428",223,80,"5,945,274"
,"256,968","2,281",,
AR,"9,939",118,212,"2,510,046"
,"137,962","1,158",,
CA,"115,682","5,037",685,"37,416,909"
,"1,228,185","25,841",,
CO,"26,333",321,204,"4,700,965"
,"213,769","1,743",,
CT,"10,853",163,97,"3,388,202"
,"110,186","1,227",,
DE,"4,562",67,52,"916,825"
,"39,680",327,,
DC,,,,
,,,,
FL,"78,195","1,022",618,"19,290,951"
,"960,086","6,177",,
GA,"34,441",605,422,"8,827,198"
,"330,261","3,500",,
HI,617,10,1,"158,760"
,"8,832",108,,
ID,"9,876",132,102,"1,582,856"
,"64,164",525,,
IL,"21,693",903,2,"2,860,675"
,"125,398","3,982",,
IN,"19,005",208,149,"4,176,156"
,"151,935","1,462",,
IA,"14,469",139,191,"2,706,862"
,"102,554",618,,
KS,"7,105",52,232,"2,066,137"
,"78,153",616,,
KY,"7,001",87,362,"4,192,532"
,"179,435","1,122",,
LO,"13,492",222,102,"2,304,044"
,"122,931","1,519",,
ME,"5,351",32,179,"1,325,207"
,"51,052",406,,
MD,"23,556",567,150,"5,351,617"
,"214,837","3,189",,
MA,"11,018",168,302,"6,123,817"
,"137,532","1,311",,
MI,"24,166",531,535,"9,159,042"
,"252,589","3,843",,
MN,,231,322,"4,698,199"
,,931,,
MS,"7,364",110,91,"1,535,347"
,"94,386",841,,
MO,"28,657",360,385,"5,612,383"
,"289,864","3,230",,
MT,"6,715",14,93,"949,729"
,"32,384",91,,
NE,"11,700",103,211,"1,691,152"
,"77,665",914,,
NV,"13,283",118,30,"2,749,103"
,"142,459","1,464",,
NH,"5,387",0,148,"1,167,974"
,"45,492",74,,
NJ,"26,688",727,496,"8,637,883"
,"328,432","3,957",,
NM,"9,354",149,67,"1,767,251"
,"98,410",609,,
NY,"39,453",602,487,"10,798,302"
,"338,463","4,011",,
NC,"32,868","1,270",333,"8,780,316"
,"435,932","6,618",,
ND,"4,730",24,91,"685,149"
,"29,084",213,,
OH,"25,052",327,416,"7,192,479"
,"227,243","2,518",,
OK,"12,614",190,304,"3,589,287"
,"127,825","1,984",,
OR,"16,616",163,128,"3,610,267"
,"127,754","1,712",,
PA,"66,833","1,096","1,139","12,251,464"
,"433,863","4,154",,
RI,"3,705",131,47,"1,044,186"
,"33,191",404,,
SC,"14,385",364,306,"4,112,716"
,"169,384","1,966",,
SD,"5,682",47,111,"747,870"
,"35,365",164,,
TN,"28,273",521,438,"5,863,606"
,"356,340","3,568",,
TX,"110,740",868,989,"25,224,224"
,"1,009,136","10,222",,
UT,"19,053",309,125,"2,794,195"
,"117,185","1,291",,
VT,"1,036",9,76,"557,989"
,"13,073",20,,
VA,"25,330",338,410,"8,178,905"
,"339,362","3,556",,
WA,"18,006",317,192,"5,173,068"
,"172,362","1,772",,
WV,"1,678",13,256,"1,357,601"
,"46,364",354,,
WI,"63,281",808,359,"5,373,766"
,"324,207","3,715",,
WY,"3,973",35,56,"520,353"
,"30,404",92,,
