Year,netGrowth
2000,1655.51226448509
2001,1434.83258783941
2002,1670.19769156054
2003,1582.27806383476
2004,1647.94939319128
2005,1727.15614984162
2006,1897.31869314589
2007,2124.94318285816
2008,2176.24335014479
2009,2899.29577710214
2010,2586.11209457699
2011,3026.27920843636
2012,4156.93267823381
2013,5023.92691134676
2014,3822.08921982771
2015,4005.50055362846
2016,5002.81152509989
