Year,OwnGuns,GunsAtHome,GunsOnProperty,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LO,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2010,40.8780487804878,39.5121951219512,2.25806451612903,54.5454545454545,NaN,33.3333333333333,76.9230769230769,37.3626373626374,42.1052631578947,0,20,16.6666666666667,37.0967741935484,53.3333333333333,NaN,33.3333333333333,27.2727272727273,36.6666666666667,56.25,36.3636363636364,68.1818181818182,52.6315789473684,53.8461538461538,34.6153846153846,4.34782608695652,45.1612903225806,42.3076923076923,72.7272727272727,52.3809523809524,75,57.1428571428571,28.5714285714286,33.3333333333333,7.40740740740741,11.1111111111111,22.4489795918367,62.0689655172414,NaN,40.5405405405405,57.1428571428571,47.0588235294118,36.3636363636364,0,41.6666666666667,50,62.962962962963,53.968253968254,55.5555555555556,0,15.625,36,45.4545454545455,47.8260869565217,100
2011,46.4676616915423,45.273631840796,2.18181818181818,71.4285714285714,NaN,55.5555555555556,77.7777777777778,34.7826086956522,52.1739130434783,26.6666666666667,50,NaN,45.6140350877193,65.5172413793103,0,60,31.4285714285714,61.5384615384615,50,64.2857142857143,50,58.3333333333333,71.4285714285714,33.3333333333333,28.5714285714286,40.7407407407407,54.1666666666667,85.7142857142857,75,62.5,0,57.1428571428571,42.8571428571429,28.2051282051282,80,17.5438596491228,51.2820512820513,50,56.25,62.5,80,41.1764705882353,0,57.1428571428571,85.7142857142857,51.8518518518518,49.0196078431373,37.5,20,53.8461538461538,35.7142857142857,50,47.6190476190476,33.3333333333333
2012,44.3159922928709,43.1599229287091,2.03389830508475,57.1428571428571,100,37.5,80,46.9879518072289,47.0588235294118,9.09090909090909,20,33.3333333333333,38.5964912280702,41.6666666666667,0,63.6363636363636,25.8064516129032,68.75,35.2941176470588,25,56.25,75,57.1428571428571,23.8095238095238,6.66666666666667,63.3333333333333,39.1304347826087,83.3333333333333,50,88.8888888888889,50,18.1818181818182,40,13.7931034482759,50,24.5614035087719,53.125,60,42.5,50,53.3333333333333,36.0655737704918,0,53.8461538461538,100,65.2173913043478,63.4615384615385,43.75,100,47.6190476190476,32.258064516129,75,38.8888888888889,100
2013,42.6070038910506,40.6614785992218,3.27868852459016,46.1538461538462,40,57.1428571428571,66.6666666666667,29.5238095238095,50,30,33.3333333333333,0,43.859649122807,55.1724137931034,0,50,29.0322580645161,55,42.8571428571429,53.8461538461538,38.4615384615385,25,16.6666666666667,26.6666666666667,16.6666666666667,64.7058823529412,44.4444444444444,72.7272727272727,44,83.3333333333333,81.8181818181818,42.8571428571429,100,18.5185185185185,50,16.6666666666667,41.9354838709677,33.3333333333333,36.5853658536585,64.2857142857143,57.8947368421053,39.5833333333333,16.6666666666667,50,100,66.6666666666667,52,46.1538461538462,100,29.6296296296296,35.4838709677419,57.1428571428571,55.5555555555556,100
2014,45.8210422812193,43.8544739429695,3.50262697022767,64.2857142857143,33.3333333333333,43.4782608695652,70,31.3725490196078,39.1304347826087,44.4444444444444,28.5714285714286,0,35.8490566037736,54.5454545454545,50,44.4444444444444,44.4444444444444,61.5384615384615,37.5,44.4444444444444,71.4285714285714,50,44.4444444444444,25,22.7272727272727,51.8518518518518,35,57.1428571428571,53.3333333333333,100,12.5,100,50,17.8571428571429,54.5454545454545,25.4545454545455,53.3333333333333,40,42.8571428571429,58.8235294117647,63.6363636363636,45.2830188679245,25,68.4210526315789,50,73.6842105263158,56.4102564102564,58.8235294117647,50,55.5555555555556,47.6190476190476,100,52.9411764705882,66.6666666666667
2015,46.5024630541872,44.6305418719212,3.38078291814947,64.2857142857143,50,44.4444444444444,50,43.9024390243902,73.6842105263158,21.4285714285714,33.3333333333333,0,41.304347826087,69.5652173913043,0,25,26.9230769230769,52.1739130434783,47.3684210526316,56.5217391304348,75,70.5882352941177,66.6666666666667,44.4444444444444,25,44.8275862068966,51.5151515151515,63.6363636363636,46.875,60,50,62.5,33.3333333333333,25,75,21.4285714285714,47.0588235294118,100,41.1764705882353,61.5384615384615,52.9411764705882,48,0,26.6666666666667,75,73.3333333333333,55.6818181818182,53.3333333333333,33.3333333333333,27.2727272727273,38.4615384615385,85.7142857142857,43.4782608695652,60
2016,42.8711897738446,41.6912487708948,2.02360876897133,50,NaN,50,58.3333333333333,32.9787234042553,24,6.66666666666667,37.5,0,51.7241379310345,60.4651162790698,0,62.5,36.6666666666667,44,60,55.5555555555556,75,23.0769230769231,66.6666666666667,35.7142857142857,9.09090909090909,26.9230769230769,56.25,66.6666666666667,47.6190476190476,71.4285714285714,25,46.1538461538462,66.6666666666667,16.1290322580645,66.6666666666667,28.3582089552239,51.219512195122,25,34.7826086956522,66.6666666666667,36.3636363636364,38.6363636363636,0,71.4285714285714,75,69.2307692307692,50,50,0,50,38.0952380952381,100,13.3333333333333,100
2017,45.8171206225681,44.5525291828794,2.28070175438596,65,40,37.037037037037,45.4545454545455,32.6530612244898,48.4848484848485,35.7142857142857,60,0,42.8571428571429,75.8620689655172,0,87.5,31.8181818181818,58.3333333333333,16.6666666666667,28.5714285714286,57.8947368421053,85.7142857142857,57.1428571428571,25,8.69565217391304,45.7142857142857,51.4285714285714,68.75,76.1904761904762,71.4285714285714,75,66.6666666666667,44.4444444444444,35,60,26.6666666666667,53.3333333333333,66.6666666666667,22.2222222222222,71.4285714285714,33.3333333333333,31.1111111111111,0,60,100,57.6923076923077,51.4705882352941,50,100,51.8518518518518,48.1481481481481,100,53.8461538461538,50
2018,50.0490677134446,47.5956820412169,4.68164794007491,85.7142857142857,75,59.0909090909091,75,35.0515463917526,50,40,100,0,48.4848484848485,66.6666666666667,100,81.8181818181818,34.6153846153846,50,58.3333333333333,44.4444444444444,64.7058823529412,84.6153846153846,62.5,22.2222222222222,18.1818181818182,58.3333333333333,65,77.7777777777778,41.6666666666667,50,37.5,40,33.3333333333333,42.8571428571429,55.5555555555556,26.7857142857143,48.5714285714286,100,55.5555555555556,66.6666666666667,38.4615384615385,46.2962962962963,50,56.25,85.7142857142857,62.5,55.9139784946236,46.1538461538462,100,50,59.2592592592593,100,50,0
2019,44.4298820445609,42.1363040629096,3.96375990939977,70.7317073170732,62.5,43.75,91.6666666666667,34.8484848484849,42.4242424242424,40.9090909090909,40,0,41.1111111111111,50,16.6666666666667,58.3333333333333,34.8837209302326,62.5,40,20,72.4137931034483,78.5714285714286,62.5,25,22.2222222222222,39.5348837209302,45.945945945946,72.7272727272727,54.1666666666667,77.7777777777778,41.1764705882353,36.3636363636364,11.1111111111111,14.2857142857143,38.4615384615385,22.5806451612903,47.1698113207547,42.8571428571429,45.6140350877193,61.5384615384615,43.4782608695652,38.7096774193548,33.3333333333333,46.1538461538462,50,50,54.0540540540541,66.6666666666667,40,52.5,55,63.6363636363636,48.1481481481481,100
