Year,netGrowth
2000,586.378961876742
2001,553.888893870295
2002,611.388658579012
2003,583.46724313711
2004,616.677711562321
2005,639.230364810886
2006,795.644655767687
2007,959.487305315358
2008,1044.70288049449
2009,1458.381838665
2010,1442.63708333394
2011,1514.19399339753
2012,2099.56232832036
2013,2536.48175691608
2014,1999.37553324431
2015,2086.78969535737
2016,2785.11100150829
