State,allArrests,weaponArrests,agencies,population
AL,156,1,1,"82,012"
,"2,101",20,,
AK,"3,453",29,32,"714,559"
,"39,607",401,,
AZ,"37,596",265,85,"6,128,057"
,"285,528","2,400",,
AR,"8,320",107,189,"2,163,737"
,"108,281",943,,
CA,"144,768","5,978",619,"37,483,185"
,"1,183,470","27,690",,
CO,"28,675",406,180,"4,644,849"
,"208,352","1,701",,
CT,"12,505",180,99,"3,509,272"
,"119,285","1,244",,
DE,"4,785",89,55,"907,135"
,"37,832",327,,
DC,645,18,1,
,"8,725",59,,
FL,"87,025","1,032",678,"19,052,717"
,"952,845","5,785",,
GA,"38,046",813,422,"9,214,519"
,"349,708","3,971",,
HI,,,,
,,,,
ID,"10,370",92,102,"1,493,662"
,"63,005",427,,
IL,"24,136",915,2,"2,857,044"
,"132,863","3,941",,
IN,"25,633",323,169,"4,962,299"
,"194,774","1,880",,
IA,"15,779",122,185,"2,685,953"
,"105,015",566,,
KS,"7,729",80,244,"2,017,057"
,"78,391",600,,
KY,"8,042",112,359,"4,103,435"
,"176,087","1,082",,
LO,"13,711",255,110,"2,433,299"
,"119,085","1,515",,
ME,"5,342",39,163,"1,324,187"
,"51,592",403,,
MD,"30,018",802,134,"4,810,360"
,"229,010","3,235",,
MA,"12,149",198,313,"5,972,351"
,"137,379","1,479",,
MI,"26,155",537,504,"8,768,968"
,"251,200","3,926",,
MN,"34,171",505,325,"5,344,861"
,"176,051","1,688",,
MS,"7,915",104,93,"1,675,272"
,"102,765",828,,
MO,"31,503",369,401,"5,667,706"
,"295,080","3,353",,
MT,"6,117",14,92,"898,221"
,"29,678",71,,
NE,"12,640",117,205,"1,658,043"
,"81,890",835,,
NV,"16,588",231,23,"2,432,857"
,"141,908","1,499",,
NH,"5,299",7,133,"1,029,821"
,"40,699",77,,
NJ,"30,690",951,577,"8,760,229"
,"333,136","4,081",,
NM,"11,525",168,87,"1,988,459"
,"108,731",692,,
NY,"31,515",361,506,"9,114,359"
,"303,435","3,065",,
NC,"40,803","1,494",375,"9,281,220"
,"494,561","7,372",,
ND,"4,754",20,77,"645,706"
,"26,012",131,,
OH,"29,697",441,439,"8,496,426"
,"256,625","3,217",,
OK,"13,878",206,291,"3,489,895"
,"134,295","1,764",,
OR,"20,457",210,137,"3,694,895"
,"133,414","1,744",,
PA,"67,659","1,210","1,122","11,798,317"
,"418,838","4,222",,
RI,"3,844",94,47,"873,472"
,"29,852",281,,
SC,"15,796",425,251,"4,209,115"
,"169,884","1,931",,
SD,"4,962",27,106,"686,820"
,"29,023",128,,
TN,"33,318",599,446,"6,086,443"
,"386,758","3,532",,
TX,"121,237",977,"1,020","23,937,315"
,"1,026,398","9,637",,
UT,"9,426",104,79,"1,230,046"
,"47,321",493,,
VT,953,8,61,"456,140"
,"10,907",15,,
VA,"28,059",387,323,"8,003,311"
,"347,903","3,749",,
WA,"17,052",343,189,"3,886,312"
,"129,201","1,549",,
WV,"1,882",28,247,"1,498,772"
,"50,204",391,,
WI,"64,921",932,342,"5,284,971"
,"317,773","3,799",,
WY,"4,782",37,61,"548,033"
,"34,041",118,,
